code,Latitude,Longitude,src
AUDND,26.95952,77.01106,MAPBOX
AUDNM,-1.69633,130.29614,MAPBOX
AUDNQ,58.07982,7.30307,MAPBOX
AUDOX,43.79998,-0.82159,MAPBOX
AUDPO,-7.77851,147.04446,MAPBOX
AUDRB,48.92657,2.24434,MAPBOX
AUDRD,48.92657,2.24434,MAPBOX
AUDRN,49.47134,5.95719,MAPBOX
AUDRR,48.92657,2.24434,MAPBOX
AUDVR,31.66183,74.54375,MAPBOX
AUDXD,35.46818,-95.52882,MAPBOX
AUDYA,48.92657,2.24434,MAPBOX
AUDYM,53.05114,44.86894,MAPBOX
AUDYW,-8.07849,-39.11551,MAPBOX
AUECH,43.64780,0.58538,MAPBOX
AUEDB,48.41150,14.30475,MAPBOX
AUEDD,48.41150,14.30475,MAPBOX
AUEDR,46.34820,11.29921,MAPBOX
AUELC,50.17099,7.76679,MAPBOX
AUELE,47.26691,11.25055,MAPBOX
AUEMD,31.17666,29.87810,MAPBOX
AUENB,53.93089,9.05289,MAPBOX
AUEPR,46.34820,11.29921,MAPBOX
AUERB,50.75697,7.07299,MAPBOX
AUETD,48.41150,14.30475,MAPBOX
AUEUC,44.75611,7.94684,MAPBOX
AUFBN,-5.21977,145.53918,MAPBOX
AUFIK,-15.58909,-56.06421,MAPBOX
AUFIS,48.24269,14.25257,MAPBOX
AUFLS,65.77375,13.21879,MAPBOX
AUFLY,46.02654,-118.39685,MAPBOX
AUFOS,42.79971,1.65707,MAPBOX
AUFOT,0.78333,34.18333,MAPBOX
AUFRB,40.38240,-74.19725,MAPBOX
AUFRE,-8.33707,-36.42394,MAPBOX
AUFSL,49.40689,8.54195,MAPBOX
AUGAH,40.78306,29.62389,MAPBOX
AUGBN,47.92007,-2.28046,MAPBOX
AUGBV,56.01898,14.64676,MAPBOX
AUGDD,35.46818,-95.52882,MAPBOX
AUGEE,49.21658,2.80690,MAPBOX
AUGET,43.16884,0.56963,MAPBOX
AUGEX,49.21658,2.80690,MAPBOX
AUGFE,46.80400,7.16866,MAPBOX
AUGFN,47.92007,-2.28046,MAPBOX
AUGGD,38.25215,-93.03545,MAPBOX
AUGIC,47.77352,5.89547,MAPBOX
AUGLG,57.71771,26.96785,MAPBOX
AUGLI,57.71771,26.96785,MAPBOX
AUGLL,57.71771,26.96785,MAPBOX
AUGLM,57.71771,26.96785,MAPBOX
AUGLT,40.58248,-104.73155,MAPBOX
AUGLY,49.05913,6.12144,MAPBOX
AUGOI,46.36774,9.12593,MAPBOX
AUGOO,16.32316,120.36705,MAPBOX
AUGOS,-34.61918,-58.90176,MAPBOX
AUGOV,-36.31428,-57.54387,MAPBOX
AUGPN,47.92007,-2.28046,MAPBOX
AUGRH,26.96872,82.64276,MAPBOX
AUGSC,56.94888,24.78927,MAPBOX
AUGSN,9.53885,31.65842,MAPBOX
AUGTE,46.80400,7.16866,MAPBOX
AUGTS,47.26772,8.48528,MAPBOX
AUGTT,47.26772,8.48528,MAPBOX
AUGTY,49.05913,6.12144,MAPBOX
AUGUH,-7.12447,110.32163,MAPBOX
AUGUL,54.96159,-8.26514,MAPBOX
AUGYL,47.76719,3.60801,MAPBOX
AUGYP,47.76719,3.60801,MAPBOX
AUHAP,57.11783,56.52410,MAPBOX
AUHAT,14.25318,121.38306,MAPBOX
AUHID,52.50155,-8.72500,MAPBOX
AUHIG,51.74383,-9.84075,MAPBOX
AUHIH,33.95154,-6.87265,MAPBOX
AUHIP,47.74760,27.90279,MAPBOX
AUHIS,48.70790,2.38839,MAPBOX
AUHLL,50.38644,8.00576,MAPBOX
AUHLM,47.48597,12.24094,MAPBOX
AUHLS,40.80051,-80.02776,MAPBOX
AUHLT,40.58248,-104.73155,MAPBOX
AUHLV,-36.11798,146.83273,MAPBOX
AUHOK,12.97041,77.61029,MAPBOX
AUHOT,0.78333,34.18333,MAPBOX
AUHPE,19.17597,73.56939,MAPBOX
AUHPT,42.70821,0.90451,MAPBOX
AUHRN,32.47239,76.41726,MAPBOX
AUHRY,50.36975,3.46589,MAPBOX
AUHTI,-7.48732,111.59813,MAPBOX
AUHTU,7.28333,41.05000,MAPBOX
AUHUB,48.17607,13.89760,MAPBOX
AUHVB,48.17607,13.89760,MAPBOX
AUHYI,14.11830,44.40429,MAPBOX
AUIFF,35.97628,-87.31549,MAPBOX
AUIGH,-26.80861,152.99555,MAPBOX
AUIKP,30.38423,-89.34506,MAPBOX
AUING,48.41215,9.51744,MAPBOX
AUINJ,48.28218,13.71712,MAPBOX
AUINM,48.28218,13.71712,MAPBOX
AUIPS,43.62841,6.22540,MAPBOX
AUIRG,48.28218,13.71712,MAPBOX
AUISA,42.68000,-0.62048,MAPBOX
AUISI,58.46286,25.59589,MAPBOX
AUIVR,-23.53139,-46.40475,MAPBOX
AUJAB,37.47686,45.89479,MAPBOX
AUJAD,21.16896,81.33499,MAPBOX
AUJCK,47.85722,13.78374,MAPBOX
AUJHQ,26.12255,82.04473,MAPBOX
AUJOV,-22.73875,-47.61139,MAPBOX
AUJUN,49.47134,5.95719,MAPBOX
AUJUR,-7.61272,109.25261,MAPBOX
AUKAH,-36.78923,174.66494,MAPBOX
AUKAX,14.94125,-83.83076,MAPBOX
AUKBY,50.41467,3.05357,MAPBOX
AUKCE,58.38667,-134.65360,MAPBOX
AUKCS,-31.83546,115.89489,MAPBOX
AUKDS,45.65501,-61.44804,MAPBOX
AUKGI,58.46286,25.59589,MAPBOX
AUKGR,-6.08811,149.43243,MAPBOX
AUKGY,47.76719,3.60801,MAPBOX
AUKIB,-8.77061,160.69926,MAPBOX
AUKIT,1.28341,103.82018,MAPBOX
AUKKP,60.56761,21.68067,MAPBOX
AUKLP,55.94794,26.89245,MAPBOX
AUKML,31.45225,77.05215,MAPBOX
AUKNI,58.46286,25.59589,MAPBOX
AUKNS,-31.83546,115.89489,MAPBOX
AUKOH,5.57315,95.36290,MAPBOX
AUKOI,21.96926,-159.36945,MAPBOX
AUKPS,43.62841,6.22540,MAPBOX
AUKRA,62.80416,6.88956,MAPBOX
AUKRD,62.80416,6.88956,MAPBOX
AUKSV,58.46286,25.59589,MAPBOX
AUKTA,57.48911,-134.56081,MAPBOX
AUKTR,-6.08811,149.43243,MAPBOX
AUKUG,-6.08811,149.43243,MAPBOX
AUKUR,-6.08811,149.43243,MAPBOX
AUKWI,58.46286,25.59589,MAPBOX
AUKWM,38.55689,-120.72636,MAPBOX
AUKYI,58.46286,25.59589,MAPBOX
AULAB,25.63814,88.04744,MAPBOX
AULCN,44.22253,5.42817,MAPBOX
AULDC,55.95994,-3.45994,MAPBOX
AULDH,55.81995,-4.29983,MAPBOX
AULDW,56.25900,-2.62964,MAPBOX
AULEA,65.58450,22.15514,MAPBOX
AULEL,55.66764,25.46932,MAPBOX
AULER,59.28407,10.33375,MAPBOX
AULGH,30.64930,74.91425,MAPBOX
AULGT,40.58248,-104.73155,MAPBOX
AULHG,46.75460,8.09917,MAPBOX
AULIB,26.28013,89.37982,MAPBOX
